Var1,Var2
0.735,-0.0173820717611073
0.736,-0.0170981608272822
0.737,-0.0168073518705056
0.738,-0.0165097033275399
0.739,-0.0162052800232668
0.74,-0.0158941491175055
0.741,-0.0155763748253823
0.742,-0.015252017078124
0.743,-0.014921135703741
0.744,-0.0145837946198546
0.745,-0.0142400590312508
0.746,-0.0138899868828979
0.747,-0.013533624890899
0.748,-0.0131710152558723
0.749,-0.0128022051206628
0.75,-0.0124272481940441
0.751,-0.0120461997998172
0.752,-0.0116591137352268
0.753,-0.0112660430706679
0.754,-0.0108670399987659
0.755,-0.0104621531403504
0.756,-0.0100514254176842
0.757,-0.00963489421926256
0.758,-0.00921259379893513
0.759,-0.00878455975669712
0.76,-0.00835083227221367
0.761,-0.00791145510735392
0.762,-0.00746647423575941
0.763,-0.00701594096534641
0.764,-0.0065599178311615
0.765,-0.00609848050704687
0.766,-0.00563171267606299
0.767,-0.00515969783392023
0.768,-0.00468251389919294
0.769,-0.00420023223320076
0.77,-0.00371291740929036
0.771,-0.00322062407472068
0.772,-0.00272339284457246
0.773,-0.00222124858957617
0.774,-0.00171420295146107
0.775,-0.00120226305473647
0.776,-0.000685444289869053
0.777,-0.000163778155967687
0.778,0.000362689931907023
0.779,0.00089390918625587
0.78,0.001429831069516
0.781,0.00197041134450404
0.782,0.00251560889480418
0.783,0.00306538824879077
0.784,0.00361972703373514
0.785,0.00417862228846433
0.786,0.00474209121449631
0.787,0.00531016795986272
0.788,0.00588289950781418
0.789,0.00646033999213147
0.79,0.00704254291862549
0.791,0.00762955630097262
0.792,0.00822142406757542
0.793,0.00881819097256487
0.794,0.00941990750333299
0.795,0.0100266319916914
0.796,0.01063842695187
0.797,0.0112553516559005
0.798,0.0118774590059101
0.799,0.0125047999611355
0.8,0.0131374285495395
0.801,0.0137753998607354
0.802,0.0144187642745625
0.803,0.0150675664428029
0.804,0.0157218497560951
0.805,0.016381659508069
0.806,0.0170470427530989
0.807,0.0177180487868217
0.808,0.0183947303864646
0.809,0.019077142483781
0.81,0.019765338747646
0.811,0.0204593696238181
0.812,0.0211592832526086
0.813,0.0218651266988001
0.814,0.0225769457296021
0.815,0.0232947861365101
0.816,0.024018697461492
0.817,0.0247487341332314
0.818,0.0254849527852458
0.819,0.0262274089529724
0.82,0.0269761542340263
0.821,0.0277312354364512
0.822,0.0284926959352727
0.823,0.0292605762362841
0.824,0.030034914928409
0.825,0.0308157520351876
0.826,0.031603129417232
0.827,0.0323970858872452
0.828,0.033197655411113
0.829,0.0340048714377733
0.83,0.0348187690988461
0.831,0.0356393799923194
0.832,0.0364667237032212
0.833,0.0373008015395332
0.834,0.0381415943846025
0.835,0.0389890648135049
0.836,0.0398431637058105
0.837,0.0407038390631831
0.838,0.0415710412968173
0.839,0.0424447226896746
0.84,0.0433248338906067
0.841,0.0442113189530469
0.842,0.0451041099816529
0.843,0.0460031261365762
0.844,0.0469082780257812
0.845,0.0478194714902125
0.846,0.0487366058534583
0.847,0.0496595705303665
0.848,0.0505882479379105
0.849,0.0515225225990179
0.85,0.0524622880328923
0.851,0.0534074478010516
0.852,0.0543579156218194
0.853,0.0553136161145218
0.854,0.0562744806274773
0.855,0.0572404379485525
0.856,0.0582114058848143
0.857,0.0591872872292981
0.858,0.0601679708712305
0.859,0.0611533368770345
