t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
2.04,0.201796332847322,-21.2869930683867,19.9683855410909,1.8754036573386,-10.1833087060576,7.02311420117453,8.67508700345354
2.05,0.220945384121192,-21.3868295794754,20.0401934932386,1.95107323794899,-9.79229893229143,7.35781277160967,6.46616276953782
2.06,0.240741557403222,-21.4832503051028,20.1154518831546,2.00445904444243,-9.50573852988438,7.70362966379073,4.22477165651578
2.07,0.260961287888083,-21.5773722876577,20.1942053088265,2.03555877550574,-9.34131041717539,8.04180798369368,2.01133120048826
2.08,0.281382325256715,-21.6705107847986,20.2762885351685,2.04489358919501,-9.30482200566951,8.37933503243958,-0.124042861290308
2.09,0.301791936104362,-21.7639172073833,20.3618254113458,2.03355182663494,-9.39606660734312,8.73947403606989,-2.14073844379272
2.1,0.321989524222339,-21.8588543977752,20.4512122710753,2.00296863198367,-9.61489623694584,9.15156185006839,-4.00684075912703
2.11,0.341791077138914,-21.9566247241521,20.5451337184624,1.95471078376149,-9.96392695046536,9.6461863275918,-5.6983261069532
2.12,0.361029166119308,-22.0585700805066,20.6445626280012,1.89047669485078,-10.4485388451275,10.25518631947,-7.19826371929577
2.13,0.379553043055312,-22.1660379446457,20.750702096951,1.81209572234992,-11.0750814407068,11.0080800092843,-8.49603299434953
2.14,0.39723129334781,-22.2804428659297,20.8650665512377,1.7216665072443,-11.8385700788635,11.9064400354531,-9.58656278197023
2.15,0.413954552206331,-22.4031819896152,20.9891972311565,1.62147360086041,-12.6968242769871,12.8826257340165,-10.46959864207
2.16,0.429634911432889,-22.534387746306,21.1224496089089,1.51356634584611,-13.5198563812801,13.7115262470945,-11.1490032112416
2.17,0.444204910707261,-22.6727247222134,21.2616544645843,1.39985933214932,-14.0832755953603,13.9995135733468,-11.6320940047432
