t,s,phi1,phi2,Ds,Dphi1,Dphi2,u
1.37,-0.000748525911506137,-0.00094728349664304,-0.000683929111689912,-0.0112757909884087,0.0534779144314204,-0.0453441239722331,0.0253230584871113
1.38,-0.000859533721926613,-0.000418427860761052,-0.00113405797565152,-0.0108871551252312,0.0521290055815008,-0.0446172794344508,0.0525071238914012
1.39,-0.000965255167952347,9.17703133021717e-05,-0.00157555550862899,-0.0102290420307907,0.0497983248155877,-0.0436413194785745,0.0794642447688008
1.4,-0.00106309479355009,0.000573870305508665,-0.00200603066248947,-0.00930606113079537,0.0465143480274237,-0.0424354618707721,0.105334809366439
1.41,-0.00115051809240925,0.00101881610460201,-0.00242334782272807,-0.00813142724788453,0.0423332842264829,-0.0410208299089088,0.129422432299183
1.42,-0.00122505150794185,0.00141793640810737,-0.00282562680846796,-0.00672696060162812,0.0373390755379706,-0.039420452422547,0.151058120331253
1.43,-0.00128441907201253,0.00176334560933576,-0.00321121978337104,-0.00511877904216762,0.0316297337572851,-0.03765820372107,0.169586471153546
1.44,-0.00132684278889557,0.00204868526804833,-0.00357853341079861,-0.00334340190346354,0.0253338034324321,-0.0357568245779598,0.184475295802687
1.45,-0.00135089173904312,0.00226880657533854,-0.00392618134384513,-0.00144341504272638,0.0185988996267669,-0.033739752541364,0.195424329663726
1.46,-0.00135549022654457,0.00241989796441991,-0.00425308191420855,0.000542510495022202,0.0115620805279666,-0.0316311621932288,0.202419165392298
1.47,-0.00133991790961927,0.00249948557990334,-0.00455845819145898,0.00257963110444194,0.0043498091134507,-0.0294559641389029,0.205769779584265
1.48,-0.00130380980061644,0.00250643327779709,-0.00484183798303871,0.004637130619874,-0.00292204684961944,-0.0272398050071374,0.206100658996147
1.49,-0.00124716784389627,0.00244096576432148,-0.00510304269868756,0.00668736388922865,-0.0101463240374213,-0.0250086480281052,0.204201888321764
1.5,-0.0011703534814483,0.00230448084744614,-0.00534200895879189,0.00870278349352612,-0.0172186978080114,-0.0227851880006742,0.200786004559464
1.51,-0.00107351728002191,0.00209809709164993,-0.00555900255418519,0.01068014626767,-0.0241003665944218,-0.0206002612157854,0.196313758337246
1.52,-0.000956927972747233,0.00182354521810234,-0.00575455367797412,0.0126159988283328,-0.0307530142630357,-0.0184834352476491,0.190935948460265
1.53,-0.000821082779234435,0.00148343086639985,-0.00592939626032762,0.0144997184154669,-0.0371208671112841,-0.0164597404536385,0.184461973874557
1.54,-0.000666707405573709,0.0010812345945659,-0.00608446796847683,0.016313512892304,-0.0431306938676455,-0.0145496699742895,0.176328186157745
1.55,-0.000494756044335276,0.000621311879050905,-0.00622091020671514,0.0180324207453554,-0.0486918056916458,-0.0127691797333007,0.165642159389728
1.56,-0.000306411374569386,0.000108893114732243,-0.00634006811639819,0.0196243110844121,-0.0536960561738586,-0.0111296884375332,0.151384422358851
1.57,-0.000103084561806322,-0.000449916385085733,-0.00644349057594383,0.0210498836425448,-0.0580178413359052,-0.00963807757701092,0.132753426581198
1.58,0.000113579791604728,-0.00104814035172451,-0.00653290898840075,0.0222628234779465,-0.0615146329520504,-0.00829664526443723,0.109470077841251
1.59,0.000341325912912758,-0.00167737710454594,-0.00660956385808966,0.0232184080544695,-0.0640542541659307,-0.00710239556837825,0.0818178905278331
1.6,0.000577145195358398,-0.00232670566264758,-0.00667493405023457,0.0238785794871826,-0.0655259264508674,-0.00605053009707499,0.0504192172423878
1.61,0.000817821974393795,-0.00298450856785391,-0.00673058884962385,0.0242102040583193,-0.0658364969472862,-0.00513325973151873,0.0159814099942566
1.62,0.00105996351512639,-0.00363885087078224,-0.0067778725127157,0.0241863062540551,-0.0649154230004967,-0.00433887219858691,-0.0208152531523575
1.63,0.0013000000123189,-0.00427748013084275,-0.0068179042676381,0.0237860687645065,-0.0627147721606926,-0.00365173207104318,-0.0593243407547562
1.64,0.00153418459038936,-0.00488782641623845,-0.00685157831418885,0.022994832483732,-0.0592092221829516,-0.00305228076753735,-0.0989253948294643
1.65,0.00175859330341107,-0.0054570023039652,-0.00687956382383555,0.0218040965097317,-0.0543960610272354,-0.00251703655260541,-0.139046356065534
1.66,0.00196912513511264,-0.00597180287981171,-0.00690230493971558,0.020211518144447,-0.0482951868583897,-0.00201859453666953,-0.179226303133474
1.67,0.00216170654892039,-0.00641940467043014,-0.00691995214541283,0.018221118818101,-0.0409481777019089,-0.00152781157020972,-0.219174609602381
1.68,0.00233246675328158,-0.00678785007014064,-0.00693241529445022,0.0158339574727849,-0.0323907085302215,-0.00101426741858517,-0.258749209638871
1.69,0.00247722988071051,-0.00706437932113718,-0.00693948384504714,0.013050305055092,-0.0226627241813817,-0.000440816940325727,-0.297781423079803
1.7,0.00259206542800924,-0.00723745276865425,-0.00694051297456735,0.00988025937766497,-0.0118344641859611,0.000229282690808572,-0.33577122282268
1.71,0.00267331264393327,-0.00729683712798962,-0.00693441265971764,0.00634398881222555,-6.97202971258054e-06,0.00103208255778808,-0.371677115076196
1.72,0.0027175805291916,-0.00723360548450437,-0.00691964767654775,0.00247173228957463,0.0126879048464301,0.00200294200031355,-0.404023089043619
1.73,0.00272174783644669,-0.00704013729362282,-0.00689423760045043,-0.00169620070040781,0.026087515046352,0.00317652861481612,-0.431231290132432
1.74,0.00268296665659198,-0.00671012530835022,-0.00685576166446086,-0.00610924307603121,0.039997956981833,0.00458670216602515,-0.451886970459928
1.75,0.00259905712294433,-0.00623943950155165,-0.00680174700465107,-0.010692540174979,0.0541600344919755,0.00625830570126533,-0.464815652555508
1.76,0.00246879977798231,-0.00562706447722073,-0.00672957248513358,-0.0153598252112524,0.0682826459264922,0.00821229267629891,-0.469107309344955
1.77,0.00229179437913535,-0.00487481704678409,-0.00663635772947427,-0.0200260585509317,0.0820799314507234,0.0104666847199446,-0.464220722993119
1.78,0.0020685283093993,-0.00398744762018145,-0.00651910750334878,-0.0246025247353017,0.0952605137389601,0.0130326221959579,-0.450066448773997
1.79,0.00180037657733643,-0.00297264020586556,-0.00637471171454252,-0.0289968324808516,0.107527497974444,0.015914364203031,-0.426849432192485
1.8,0.00148960181707544,-0.00184101241080227,-0.00619994541295066,-0.0331129146792753,0.118578471849367,0.0191092885747927,-0.39476171555998
1.81,0.00113931368390761,-0.000605748848507878,-0.00599172251052964,-0.0368602351288002,0.128132660625999,0.0226087792836182,-0.353906603021062
1.82,0.000753724691629685,0.000716663227349994,-0.0057471424341195,-0.0401558624482614,0.135937949629139,0.0263978143164661,-0.304526200937599
1.83,0.000337969813525145,0.00210668977913206,-0.00546320358736412,-0.0429128172919099,0.141737783421896,0.030452952548985,-0.247226165117146
1.84,-0.000102255618549252,0.00354335899887914,-0.00513734095233566,-0.0450587343603174,0.145326244575742,0.0347440928885136,-0.183034320147742
1.85,-0.000560699770859251,0.00500428176003076,-0.00476743523534085,-0.0465361879976009,0.146549011990333,0.0392345069258588,-0.113380373762948
